"tag","category","context"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"code","inline","<code>This is inside the <code> tag.</code>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"col","table","<col>This is inside the <col> tag.</col>"
"col","table","<col>This is inside the <col> tag.</col>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"code","inline","<code>This is inside the <code> tag.</code>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"option","form","<option>This is inside the <option> tag.</option>"
"link","metadata","<link href=""styles.css"" rel=""stylesheet"">"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"em","inline","<em>This is inside the <em> tag.</em>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"object","media","<object>This is inside the <object> tag.</object>"
"input","form","<input>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"form","form","<form action=""/submit"">This is inside the <form> tag.</form>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"meta","metadata","<meta>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"button","form","<button>This is inside the <button> tag.</button>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"a","inline","<a>This is inside the <a> tag.</a>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"em","inline","<em>This is inside the <em> tag.</em>"
"label","form","<label>This is inside the <label> tag.</label>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"video","media","<video>This is inside the <video> tag.</video>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"select","form","<select>This is inside the <select> tag.</select>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"li","list","<li>This is inside the <li> tag.</li>"
"option","form","<option>This is inside the <option> tag.</option>"
"link","metadata","<link href=""styles.css"">"
"col","table","<col>This is inside the <col> tag.</col>"
"video","media","<video>This is inside the <video> tag.</video>"
"label","form","<label>This is inside the <label> tag.</label>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"img","inline","<img>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"option","form","<option>This is inside the <option> tag.</option>"
"object","media","<object>This is inside the <object> tag.</object>"
"source","media","<source>This is inside the <source> tag.</source>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"option","form","<option>This is inside the <option> tag.</option>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"source","media","<source>This is inside the <source> tag.</source>"
"object","media","<object>This is inside the <object> tag.</object>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"a","inline","<a href=""https://example.com"">This is inside the <a> tag.</a>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"table","table","<table>This is inside the <table> tag.</table>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"input","form","<input>"
"br","inline","<br>"
"input","form","<input required>"
"meta","metadata","<meta charset=""UTF-8"">"
"img","inline","<img>"
"link","metadata","<link>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"object","media","<object>This is inside the <object> tag.</object>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"track","media","<track>This is inside the <track> tag.</track>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"meta","metadata","<meta>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"th","table","<th>This is inside the <th> tag.</th>"
"meta","metadata","<meta>"
"a","inline","<a>This is inside the <a> tag.</a>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"video","media","<video>This is inside the <video> tag.</video>"
"img","inline","<img>"
"object","media","<object>This is inside the <object> tag.</object>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"a","inline","<a target=""_blank"">This is inside the <a> tag.</a>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"a","inline","<a target=""_blank"">This is inside the <a> tag.</a>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"em","inline","<em>This is inside the <em> tag.</em>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"script","scripting","<script src=""app.js"">This is inside the <script> tag.</script>"
"table","table","<table>This is inside the <table> tag.</table>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"source","media","<source>This is inside the <source> tag.</source>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"video","media","<video>This is inside the <video> tag.</video>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"option","form","<option>This is inside the <option> tag.</option>"
"meta","metadata","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" charset=""UTF-8"">"
"track","media","<track>This is inside the <track> tag.</track>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"select","form","<select>This is inside the <select> tag.</select>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"link","metadata","<link rel=""stylesheet"" href=""styles.css"">"
"a","inline","<a rel=""noopener"">This is inside the <a> tag.</a>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"video","media","<video>This is inside the <video> tag.</video>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"script","scripting","<script type=""text/javascript"" src=""app.js"">This is inside the <script> tag.</script>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"li","list","<li>This is inside the <li> tag.</li>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"link","metadata","<link href=""styles.css"" rel=""stylesheet"">"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"video","media","<video>This is inside the <video> tag.</video>"
"form","form","<form action=""/submit"">This is inside the <form> tag.</form>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"code","inline","<code>This is inside the <code> tag.</code>"
"meta","metadata","<meta charset=""UTF-8"" name=""viewport"" content=""width=device-width, initial-scale=1.0"">"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"input","form","<input required placeholder=""Enter text"">"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"option","form","<option>This is inside the <option> tag.</option>"
"a","inline","<a href=""https://example.com"" rel=""noopener"">This is inside the <a> tag.</a>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"em","inline","<em>This is inside the <em> tag.</em>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"button","form","<button>This is inside the <button> tag.</button>"
"table","table","<table>This is inside the <table> tag.</table>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"code","inline","<code>This is inside the <code> tag.</code>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"video","media","<video>This is inside the <video> tag.</video>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"source","media","<source>This is inside the <source> tag.</source>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"option","form","<option>This is inside the <option> tag.</option>"
"label","form","<label>This is inside the <label> tag.</label>"
"col","table","<col>This is inside the <col> tag.</col>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"a","inline","<a href=""https://example.com"">This is inside the <a> tag.</a>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"select","form","<select>This is inside the <select> tag.</select>"
"option","form","<option>This is inside the <option> tag.</option>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"img","inline","<img width=""500"">"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"td","table","<td>This is inside the <td> tag.</td>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"td","table","<td>This is inside the <td> tag.</td>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"td","table","<td>This is inside the <td> tag.</td>"
"a","inline","<a>This is inside the <a> tag.</a>"
"select","form","<select>This is inside the <select> tag.</select>"
"table","table","<table>This is inside the <table> tag.</table>"
"source","media","<source>This is inside the <source> tag.</source>"
"form","form","<form method=""post"">This is inside the <form> tag.</form>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"th","table","<th>This is inside the <th> tag.</th>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"script","scripting","<script type=""text/javascript"">This is inside the <script> tag.</script>"
"video","media","<video>This is inside the <video> tag.</video>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"img","inline","<img width=""500"" src=""image.jpg"">"
"col","table","<col>This is inside the <col> tag.</col>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"form","form","<form>This is inside the <form> tag.</form>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"table","table","<table>This is inside the <table> tag.</table>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"label","form","<label>This is inside the <label> tag.</label>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"th","table","<th>This is inside the <th> tag.</th>"
"img","inline","<img width=""500"">"
"track","media","<track>This is inside the <track> tag.</track>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"video","media","<video>This is inside the <video> tag.</video>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"select","form","<select>This is inside the <select> tag.</select>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"li","list","<li>This is inside the <li> tag.</li>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"meta","metadata","<meta charset=""UTF-8"">"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"input","form","<input placeholder=""Enter text"">"
"th","table","<th>This is inside the <th> tag.</th>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"video","media","<video>This is inside the <video> tag.</video>"
"li","list","<li>This is inside the <li> tag.</li>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"link","metadata","<link rel=""stylesheet"" href=""styles.css"">"
"video","media","<video>This is inside the <video> tag.</video>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"em","inline","<em>This is inside the <em> tag.</em>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"input","form","<input placeholder=""Enter text"">"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"table","table","<table>This is inside the <table> tag.</table>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"object","media","<object>This is inside the <object> tag.</object>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"li","list","<li>This is inside the <li> tag.</li>"
"td","table","<td>This is inside the <td> tag.</td>"
"em","inline","<em>This is inside the <em> tag.</em>"
"button","form","<button>This is inside the <button> tag.</button>"
"td","table","<td>This is inside the <td> tag.</td>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"label","form","<label>This is inside the <label> tag.</label>"
"a","inline","<a rel=""noopener"" href=""https://example.com"">This is inside the <a> tag.</a>"
"meta","metadata","<meta charset=""UTF-8"" name=""viewport"" content=""width=device-width, initial-scale=1.0"">"
"template","scripting","<template>This is inside the <template> tag.</template>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"track","media","<track>This is inside the <track> tag.</track>"
"select","form","<select>This is inside the <select> tag.</select>"
"br","inline","<br>"
"video","media","<video>This is inside the <video> tag.</video>"
"meta","metadata","<meta charset=""UTF-8"">"
"table","table","<table>This is inside the <table> tag.</table>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"video","media","<video>This is inside the <video> tag.</video>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"img","inline","<img width=""500"">"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"code","inline","<code>This is inside the <code> tag.</code>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"meta","metadata","<meta charset=""UTF-8"">"
"button","form","<button>This is inside the <button> tag.</button>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"track","media","<track>This is inside the <track> tag.</track>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"li","list","<li>This is inside the <li> tag.</li>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"label","form","<label>This is inside the <label> tag.</label>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"h4","text_content","<h4>This is inside the <h4> tag.</h4>"
"option","form","<option>This is inside the <option> tag.</option>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"a","inline","<a>This is inside the <a> tag.</a>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"th","table","<th>This is inside the <th> tag.</th>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"meta","metadata","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" charset=""UTF-8"">"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"button","form","<button class=""btn btn-primary"" disabled>This is inside the <button> tag.</button>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"link","metadata","<link href=""styles.css"">"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"em","inline","<em>This is inside the <em> tag.</em>"
"link","metadata","<link href=""styles.css"">"
"option","form","<option>This is inside the <option> tag.</option>"
"li","list","<li>This is inside the <li> tag.</li>"
"em","inline","<em>This is inside the <em> tag.</em>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"button","form","<button>This is inside the <button> tag.</button>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"label","form","<label>This is inside the <label> tag.</label>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"th","table","<th>This is inside the <th> tag.</th>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"meta","metadata","<meta charset=""UTF-8"">"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"form","form","<form action=""/submit"">This is inside the <form> tag.</form>"
"table","table","<table>This is inside the <table> tag.</table>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"table","table","<table>This is inside the <table> tag.</table>"
"table","table","<table>This is inside the <table> tag.</table>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
